CODIGO_ESTABLECIMIENTO,NOMBRE_ESTABLECIMIENTO,CICLO_LECTIVO,COD_CARRERA,CARRERA,COD_GRADO,GRADO,ORDEN,AREA,COD_CNB,NOMBRE_ASIGNATURA,ABREVIATURA,PERIODOS_SEMANALES,OBLIGATORIA,ESTADO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,5TO_PC,5to Perito Contador,1,CONTABILIDAD,5PC-01,Contabilidad de Costos,5PC-01,5,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,5TO_PC,5to Perito Contador,2,CONTABILIDAD,5PC-02,Cálculo Mercantil y Financiero,5PC-02,5,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,5TO_PC,5to Perito Contador,3,INGLÉS,5PC-03,Inglés Comercial II,5PC-03,3,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,5TO_PC,5to Perito Contador,4,LEGISLACIÓN FISCAL Y ADUANAL,5PC-04,Legislación Fiscal y Aduanal,5PC-04,5,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,5TO_PC,5to Perito Contador,5,FINANZAS PÚBLICAS,5PC-05,Finanzas Públicas,5PC-05,3,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,5TO_PC,5to Perito Contador,6,GEOGRAFÍA ECONÓMICA,5PC-06,Geografía Económica,5PC-06,2,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,5TO_PC,5to Perito Contador,7,CATALOGACIÓN Y ARCHIVO,5PC-07,Catalogación y Archivo,5PC-07,2,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,5TO_PC,5to Perito Contador,8,MECANOGRAFÍA,5PC-08,Mecanografía,5PC-08,5,SI,ACTIVO
22-01-0014-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2026,010,Perito Contador,5TO_PC,5to Perito Contador,9,COMPUTACIÓN,5PC-09,Computación II,5PC-09,5,SI,ACTIVO
